,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,FRANJA_H,TIPO_DE_CALLE,COMUNA,POS_X,POS_Y,VICTIMA,ACUSADO,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_SEMANA
131,2016-0163,1,2016-12-10,2016,12,10,07:30:00,7,GRAL PAZ,11,-58.52340614,-34.59798754,MOTO,AUTO,CONDUCTOR,MASCULINO,23,SD,Sábado
132,2016-0164,1,2016-12-11,2016,12,11,06:16:00,6,AVENIDA,4,-58.42323628,-34.64119105,AUTO,AUTO,CONDUCTOR,MASCULINO,29,SD,Domingo
133,2016-0165,1,2016-12-12,2016,12,12,08:25:00,8,AVENIDA,4,-58.36926144,-34.62841919,BICICLETA,PASAJEROS,CICLISTA,MASCULINO,37,SD,Lunes
134,2016-0168,1,2016-12-13,2016,12,13,10:40:00,10,AVENIDA,4,-58.42323628,-34.64119105,MOTO,AUTO,CONDUCTOR,MASCULINO,43,2016-12-13 00:00:00,Martes
135,2016-0169,1,2016-12-15,2016,12,15,15:30:00,15,AVENIDA,12,-58.47935434,-34.55676497,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,24,2016-12-16 00:00:00,Jueves
136,2016-0170,1,2016-12-19,2016,12,19,17:10:00,17,GRAL PAZ,12,-58.50598256,-34.56379980,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,21,2016-12-19 00:00:00,Lunes
137,2016-0171,1,2016-12-25,2016,12,25,19:00:00,19,AUTOPISTA,1,-58.36607137,-34.62150748,MOTO,MOTO,CONDUCTOR,SD,SD,SD,Domingo
138,2016-0172,1,2016-12-26,2016,12,26,08:00:00,8,AVENIDA,5,-58.41918902,-34.63174259,MOTO,CARGAS,CONDUCTOR,MASCULINO,38,2016-12-26 00:00:00,Lunes
139,2016-0173,1,2016-12-26,2016,12,26,19:52:00,19,AVENIDA,7,-58.46749188,-34.63551751,MOTO,CARGAS,CONDUCTOR,MASCULINO,35,SD,Lunes
140,2016-0174,1,2016-12-27,2016,12,27,00:00:00,0,AUTOPISTA,0,.,.,SD,SD,SD,SD,SD,SD,Martes
141,2016-0175,1,2016-12-27,2016,12,27,08:15:00,8,CALLE,7,-58.46064174,-34.62960517,PEATON,BICICLETA,PEATON,FEMENINO,SD,SD,Martes
142,2016-0176,1,2016-12-28,2016,12,28,01:41:00,1,AVENIDA,1,-58.36956186,-34.61232875,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,28,SD,Miércoles
143,2016-0177,1,2016-12-29,2016,12,29,04:00:00,4,CALLE,14,-58.40966671,-34.58788235,PEATON,AUTO,PEATON,FEMENINO,27,SD,Jueves
144,2016-0178,1,2016-12-30,2016,12,30,16:18:00,16,CALLE,3,-58.40288226,-34.61544091,PEATON,MULTIPLE,PEATON,FEMENINO,7,SD,Viernes
145,2017-0001,1,2017-01-02,2017,1,2,01:00:00,1,AVENIDA,11,-58.46594230,-34.61028571,MOTO,CARGAS,CONDUCTOR,MASCULINO,18,2017-01-02 00:00:00,Lunes
146,2017-0003,1,2017-01-05,2017,1,5,03:10:00,3,AVENIDA,4,-58.38957669,-34.64410277,CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,33,2017-01-05 00:00:00,Jueves
147,2017-0007,1,2017-01-11,2017,1,11,17:00:00,17,CALLE,1,-58.38161660,-34.61529543,PEATON,MULTIPLE,PEATON,MASCULINO,48,2017-01-11 00:00:00,Miércoles
148,2017-0008,1,2017-01-16,2017,1,16,00:40:00,0,CALLE,14,-58.43917004,-34.58494351,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,29,2017-01-16 00:00:00,Lunes
149,2017-0009,1,2017-01-16,2017,1,16,13:56:00,13,AUTOPISTA,5,-58.41595919,-34.62743346,MOTO,CARGAS,CONDUCTOR,MASCULINO,36,2017-01-16 00:00:00,Lunes
150,2017-0010,1,2017-01-16,2017,1,16,16:30:00,16,AVENIDA,6,-58.43564880,-34.62828656,MOTO,AUTO,CONDUCTOR,MASCULINO,23,2017-01-16 00:00:00,Lunes
151,2017-0011,1,2017-01-22,2017,1,22,02:30:00,2,GRAL PAZ,12,-58.50073810,-34.54979510,MOTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,FEMENINO,29,2017-01-22 00:00:00,Domingo
152,2017-0012,1,2017-01-24,2017,1,24,14:00:00,14,CALLE,4,-58.40969005,-34.65055290,MOTO,CARGAS,CONDUCTOR,MASCULINO,30,2017-01-24 00:00:00,Martes
153,2017-0013,1,2017-01-27,2017,1,27,07:00:00,7,AVENIDA,4,-58.38972622,-34.65098981,PEATON,CARGAS,PEATON,MASCULINO,4,2017-01-27 00:00:00,Viernes
154,2017-0014,1,2017-01-28,2017,1,28,08:27:34,8,AVENIDA,12,-58.49185972,-34.55046754,MOTO,MULTIPLE,PASAJERO_ACOMPAÑANTE,FEMENINO,22,2017-01-28 00:00:00,Sábado
155,2017-0015,1,2017-02-02,2017,2,2,15:18:03,15,AVENIDA,2,-58.39293417,-34.59963642,PEATON,AUTO,PEATON,MASCULINO,82,2017-02-21 00:00:00,Jueves
156,2017-0016,1,2017-02-03,2017,2,3,05:12:21,5,AUTOPISTA,1,-58.38099494,-34.62288231,MOTO,CARGAS,CONDUCTOR,MASCULINO,27,2017-02-04 00:00:00,Viernes
157,2017-0017,1,2017-02-06,2017,2,6,08:00:00,8,AVENIDA,14,-58.42901200,-34.58095431,MOTO,AUTO,CONDUCTOR,MASCULINO,32,2017-02-06 00:00:00,Lunes
158,2017-0018,1,2017-02-09,2017,2,9,07:00:00,7,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO,AUTO,CONDUCTOR,MASCULINO,30,2017-02-09 00:00:00,Jueves
159,2017-0021,1,2017-02-18,2017,2,18,05:30:00,5,CALLE,1,-58.38362373,-34.60509972,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,43,2017-02-18 00:00:00,Sábado
160,2017-0024,1,2017-02-23,2017,2,23,20:50:00,20,AVENIDA,7,-58.46589308,-34.62955795,PEATON,PASAJEROS,PEATON,MASCULINO,39,2017-02-23 00:00:00,Jueves
161,2017-0025,1,2017-02-24,2017,2,24,17:05:00,17,AVENIDA,7,-58.43614426,-34.65424640,MOTO,SD,CONDUCTOR,MASCULINO,23,2017-02-24 00:00:00,Viernes
162,2017-0026,2,2017-02-26,2017,2,26,05:15:00,5,AVENIDA,4,-58.41842777,-34.64979057,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,FEMENINO,23,2017-02-26 00:00:00,Domingo
163,2017-0026,2,2017-02-26,2017,2,26,05:15:00,5,AVENIDA,4,-58.41842777,-34.64979057,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,19,2017-02-26 00:00:00,Domingo
164,2017-0027,1,2017-02-26,2017,2,26,21:57:00,21,AVENIDA,1,-58.38332245,-34.63193250,PEATON,AUTO,PEATON,MASCULINO,SD,2017-02-26 00:00:00,Domingo
165,2017-0028,1,2017-02-28,2017,2,28,09:20:00,9,AVENIDA,6,-58.45475488,-34.61196327,PEATON,AUTO,PEATON,MASCULINO,87,2017-02-28 00:00:00,Martes
166,2017-0029,1,2017-03-07,2017,3,7,02:15:00,2,CALLE,9,-58.48501341,-34.64742455,SD,AUTO,SD,MASCULINO,34,2017-03-07 00:00:00,Martes
167,2017-0030,1,2017-03-07,2017,3,7,08:00:00,8,AVENIDA,9,-58.47010988,-34.65872088,AUTO,PASAJEROS,CONDUCTOR,FEMENINO,27,2017-03-07 00:00:00,Martes
168,2017-0031,1,2017-03-11,2017,3,11,01:30:00,1,CALLE,3,-58.40997560,-34.62873635,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,70,2017-03-11 00:00:00,Sábado
169,2017-0032,1,2017-03-12,2017,3,12,05:00:00,5,GRAL PAZ,8,-58.48892175,-34.68359163,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,40,2017-03-12 00:00:00,Domingo
170,2017-0033,1,2017-03-12,2017,3,12,07:30:00,7,GRAL PAZ,11,-58.52466448,-34.60325478,AUTO,AUTO,CONDUCTOR,MASCULINO,28,2017-03-12 00:00:00,Domingo
171,2017-0034,1,2017-03-13,2017,3,13,07:50:00,7,CALLE,14,-58.42554218,-34.57929036,PEATON,AUTO,PEATON,MASCULINO,43,2017-03-13 00:00:00,Lunes
172,2017-0035,3,2017-03-23,2017,3,23,05:00:00,5,AVENIDA,1,-58.35881506,-34.61113641,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,28,2017-03-23 00:00:00,Jueves
173,2017-0035,3,2017-03-23,2017,3,23,05:00:00,5,AVENIDA,1,-58.35881506,-34.61113641,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,32,2017-03-23 00:00:00,Jueves
174,2017-0035,3,2017-03-23,2017,3,23,05:00:00,5,AVENIDA,1,-58.35881506,-34.61113641,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2017-03-23 00:00:00,Jueves
175,2017-0036,2,2017-03-29,2017,3,29,18:00:00,18,GRAL PAZ,12,-58.51452347,-34.58159762,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,FEMENINO,SD,2017-03-29 00:00:00,Miércoles
176,2017-0036,2,2017-03-29,2017,3,29,18:00:00,18,GRAL PAZ,12,-58.51452347,-34.58159762,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,20,2017-03-29 00:00:00,Miércoles
177,2017-0037,1,2017-03-31,2017,3,31,03:00:00,3,AVENIDA,1,-58.38896772,-34.61799615,MOTO,CARGAS,CONDUCTOR,MASCULINO,41,2017-03-31 00:00:00,Viernes
178,2017-0038,1,2017-04-01,2017,4,1,19:00:00,19,AVENIDA,7,-58.44516857,-34.64363363,MOTO,AUTO,CONDUCTOR,FEMENINO,40,2017-04-01 00:00:00,Sábado
179,2017-0040,1,2017-04-03,2017,4,3,09:40:00,9,AVENIDA,13,-58.43834197,-34.54560369,AUTO,MULTIPLE,CONDUCTOR,MASCULINO,43,2017-04-03 00:00:00,Lunes
180,2017-0041,1,2017-04-03,2017,4,3,23:15:00,23,CALLE,7,-58.45485084,-34.63531854,MOTO,AUTO,CONDUCTOR,MASCULINO,17,SD,Lunes
181,2017-0042,1,2017-04-10,2017,4,10,09:00:00,9,GRAL PAZ,14,.,.,MOTO,CARGAS,CONDUCTOR,MASCULINO,SD,2017-04-10 00:00:00,Lunes
182,2017-0045,1,2017-04-14,2017,4,14,06:15:00,6,CALLE,10,-58.52449285,-34.62454175,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,21,2017-04-14 00:00:00,Viernes
183,2017-0047,1,2017-04-23,2017,4,23,06:30:00,6,AVENIDA,8,-58.46713742,-34.67198790,MOTO,AUTO,CONDUCTOR,MASCULINO,37,2017-04-23 00:00:00,Domingo
184,2017-0049,1,2017-04-27,2017,4,27,18:16:00,18,AVENIDA,8,-58.43850413,-34.65554754,PEATON,PASAJEROS,PEATON,MASCULINO,22,2017-04-27 00:00:00,Jueves
185,2017-0050,2,2017-04-28,2017,4,28,11:08:08,11,AUTOPISTA,9,.,.,MOTO,CARGAS,CONDUCTOR,MASCULINO,46,2017-04-28 00:00:00,Viernes
186,2017-0050,2,2017-04-28,2017,4,28,11:08:08,11,AUTOPISTA,9,.,.,MOTO,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,16,2017-04-28 00:00:00,Viernes
187,2017-0051,1,2017-05-01,2017,5,1,03:47:47,3,AUTOPISTA,7,.,.,AUTO,AUTO,CONDUCTOR,MASCULINO,33,2017-05-01 00:00:00,Lunes
188,2017-0052,1,2017-05-05,2017,5,5,03:40:00,3,GRAL PAZ,8,-58.49413799,-34.68095739,PEATON,CARGAS,PEATON,FEMENINO,47,2017-05-05 00:00:00,Viernes
189,2017-0053,1,2017-05-05,2017,5,5,20:16:22,20,CALLE,4,-58.37547846,-34.65326075,MOTO,CARGAS,CONDUCTOR,MASCULINO,28,2017-05-05 00:00:00,Viernes
190,2017-0054,1,2017-05-07,2017,5,7,21:00:00,21,AVENIDA,15,-58.48680218,-34.58689719,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,20,2017-05-07 00:00:00,Domingo
191,2017-0055,1,2017-05-09,2017,5,9,08:30:00,8,AVENIDA,12,-58.49563989,-34.57962262,AUTO,AUTO,CONDUCTOR,MASCULINO,32,2017-05-09 00:00:00,Martes
192,2017-0058,1,2017-05-09,2017,5,9,23:10:00,23,AVENIDA,1,-58.38403232,-34.59915940,PEATON,MOTO,PEATON,MASCULINO,80,2017-05-09 00:00:00,Martes
193,2017-0059,1,2017-05-11,2017,5,11,09:24:00,9,CALLE,1,-58.38223382,-34.62693865,PEATON,PASAJEROS,PEATON,FEMENINO,39,2017-05-11 00:00:00,Jueves
194,2017-0060,1,2017-05-13,2017,5,13,07:20:00,7,AVENIDA,8,-58.45966521,-34.67323292,MOTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2017-05-13 00:00:00,Sábado
195,2017-0061,1,2017-05-15,2017,5,15,13:29:30,13,AVENIDA,2,-58.39303911,-34.59871111,PEATON,MOTO,PEATON,MASCULINO,47,2017-05-16 00:00:00,Lunes
196,2017-0062,1,2017-05-15,2017,5,15,16:00:00,16,AVENIDA,10,-58.51262106,-34.63395999,MOTO,CARGAS,CONDUCTOR,MASCULINO,35,2017-05-15 00:00:00,Lunes
197,2017-0063,1,2017-05-17,2017,5,17,10:13:00,10,AVENIDA,1,-58.38118367,-34.61646839,PEATON,PASAJEROS,PEATON,FEMENINO,79,2017-05-17 00:00:00,Miércoles
198,2017-0064,1,2017-05-20,2017,5,20,05:00:00,5,CALLE,1,-58.37653284,-34.60582475,CARGAS,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,61,2017-05-20 00:00:00,Sábado
199,2017-0065,1,2017-05-22,2017,5,22,16:00:00,16,AVENIDA,4,-58.37709334,-34.64035082,BICICLETA,CARGAS,CICLISTA,MASCULINO,21,2017-05-22 00:00:00,Lunes
200,2017-0066,1,2017-05-22,2017,5,22,18:10:00,18,AVENIDA,15,-58.46002142,-34.60409469,PEATON,PASAJEROS,PEATON,MASCULINO,10,2017-05-22 00:00:00,Lunes
201,2017-0067,1,2017-05-23,2017,5,23,02:45:00,2,AVENIDA,6,-58.43381970,-34.62801894,MOTO,CARGAS,CONDUCTOR,MASCULINO,21,2017-05-23 00:00:00,Martes
202,2017-0068,1,2017-05-27,2017,5,27,19:50:00,19,AVENIDA,8,-58.43580656,-34.66437532,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,32,2017-05-27 00:00:00,Sábado
203,2017-0070,1,2017-05-30,2017,5,30,13:20:00,13,CALLE,11,-58.50791763,-34.59804273,PEATON,AUTO,PEATON,MASCULINO,80,2017-05-31 00:00:00,Martes
204,2017-0072,1,2017-06-03,2017,6,3,23:20:00,23,AVENIDA,12,-58.49175088,-34.58226957,AUTO,AUTO,CONDUCTOR,MASCULINO,25,2017-06-03 00:00:00,Sábado
205,2017-0073,1,2017-06-04,2017,6,4,09:00:00,9,AVENIDA,3,-58.40781467,-34.60425669,MOTO,AUTO,CONDUCTOR,MASCULINO,19,2017-06-04 00:00:00,Domingo
206,2017-0074,1,2017-06-04,2017,6,4,12:50:00,12,CALLE,9,-58.52567073,-34.63787791,SD,SD,SD,MASCULINO,70,2017-06-04 00:00:00,Domingo
207,2017-0075,1,2017-06-12,2017,6,12,22:38:00,22,AVENIDA,1,-58.38154200,-34.60906385,PEATON,MOTO,PEATON,MASCULINO,55,2017-06-12 00:00:00,Lunes
208,2017-0076,1,2017-06-13,2017,6,13,14:50:00,14,AVENIDA,2,-58.38526125,-34.57805810,PEATON,CARGAS,PEATON,FEMENINO,30,2017-06-13 00:00:00,Martes
209,2017-0077,1,2017-06-17,2017,6,17,23:45:00,23,CALLE,14,-58.42934104,-34.58451712,MOTO,CARGAS,CONDUCTOR,FEMENINO,60,2017-06-18 00:00:00,Sábado
210,2017-0079,1,2017-06-19,2017,6,19,16:26:00,16,CALLE,3,-58.40657493,-34.61781124,MOTO,CARGAS,CONDUCTOR,MASCULINO,33,2017-06-19 00:00:00,Lunes
211,2017-0080,1,2017-06-22,2017,6,22,10:15:00,10,AVENIDA,9,-58.49525314,-34.64487785,PEATON,CARGAS,PEATON,FEMENINO,95,2017-06-22 00:00:00,Jueves
212,2017-0082,1,2017-06-25,2017,6,25,22:40:00,22,AVENIDA,4,-58.39092851,-34.62932696,PEATON,AUTO,PEATON,MASCULINO,36,2017-06-25 00:00:00,Domingo
213,2017-0083,1,2017-07-04,2017,7,4,00:25:00,0,AVENIDA,9,-58.49603546,-34.64564271,MOTO,CARGAS,CONDUCTOR,MASCULINO,37,2017-07-04 00:00:00,Martes
214,2017-0084,1,2017-07-05,2017,7,5,12:49:00,12,AVENIDA,2,-58.38502878,-34.58703485,PEATON,PASAJEROS,PEATON,FEMENINO,73,2017-07-05 00:00:00,Miércoles
215,2017-0085,1,2017-07-07,2017,7,7,14:15:00,14,AVENIDA,4,-58.37261143,-34.63150425,PEATON,PASAJEROS,PEATON,MASCULINO,84,2017-07-07 00:00:00,Viernes
216,2017-0086,1,2017-07-09,2017,7,9,07:30:00,7,AVENIDA,9,-58.51876802,-34.63905965,PEATON,MOTO,PEATON,FEMENINO,30,2017-07-09 00:00:00,Domingo
217,2017-0087,1,2017-07-10,2017,7,10,10:45:00,10,CALLE,3,-58.41095567,-34.61516101,PEATON,AUTO,PEATON,FEMENINO,73,2017-07-10 00:00:00,Lunes
218,2017-0088,1,2017-07-10,2017,7,10,22:30:00,22,AVENIDA,1,-58.36797542,-34.62519403,PEATON,PASAJEROS,PEATON,MASCULINO,43,2017-07-10 00:00:00,Lunes
219,2017-0089,1,2017-07-13,2017,7,13,12:05:00,12,CALLE,9,-58.51514709,-34.64787051,SD,AUTO,SD,MASCULINO,23,SD,Jueves
220,2017-0090,1,2017-07-15,2017,7,15,05:15:00,5,GRAL PAZ,11,-58.51925642,-34.59171721,PEATON,AUTO,PEATON,MASCULINO,22,2017-07-15 00:00:00,Sábado
221,2017-0091,1,2017-07-15,2017,7,15,13:00:00,13,GRAL PAZ,12,-58.48671535,-34.54321216,MOTO,SD,CONDUCTOR,MASCULINO,58,2017-07-15 00:00:00,Sábado
222,2017-0092,1,2017-07-24,2017,7,24,22:16:01,22,AUTOPISTA,1,-58.38268809,-34.62282019,PEATON,AUTO,PEATON,MASCULINO,66,2017-07-24 00:00:00,Lunes
223,2017-0093,1,2017-07-25,2017,7,25,16:48:40,16,AUTOPISTA,13,-58.43633522,-34.54966288,PEATON,AUTO,PEATON,MASCULINO,SD,2017-07-25 00:00:00,Martes
224,2017-0094,1,2017-07-27,2017,7,27,08:50:00,8,CALLE,10,-58.52640838,-34.61765855,BICICLETA,CARGAS,CICLISTA,FEMENINO,56,2017-07-27 00:00:00,Jueves
225,2017-0095,1,2017-08-06,2017,8,6,08:00:00,8,AVENIDA,14,-58.41894306,-34.59778875,MOTO,AUTO,CONDUCTOR,MASCULINO,36,2017-08-06 00:00:00,Domingo
226,2017-0096,1,2017-08-07,2017,8,7,19:50:00,19,AVENIDA,13,-58.46756026,-34.54972741,PEATON,PASAJEROS,PEATON,MASCULINO,87,2017-08-07 00:00:00,Lunes
227,2017-0098,1,2017-08-08,2017,8,8,12:10:00,12,CALLE,7,-58.45715752,-34.63132912,PEATON,AUTO,PEATON,FEMENINO,61,2017-08-08 00:00:00,Martes
228,2017-0099,1,2017-08-17,2017,8,17,19:45:00,19,AVENIDA,14,-58.42406784,-34.56213916,BICICLETA,AUTO,CICLISTA,MASCULINO,28,2017-08-17 00:00:00,Jueves
229,2017-0100,1,2017-08-21,2017,8,21,07:45:00,7,CALLE,3,-58.39674470,-34.61512051,MOTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,FEMENINO,16,2017-08-21 00:00:00,Lunes
230,2017-0101,1,2017-08-23,2017,8,23,10:00:00,10,AVENIDA,13,-58.44537508,-34.57084818,PEATON,MULTIPLE,PEATON,FEMENINO,61,2017-08-23 00:00:00,Miércoles
231,2017-0102,1,2017-08-24,2017,8,24,01:10:00,1,AVENIDA,4,-58.40056767,-34.65107080,PEATON,CARGAS,PEATON,MASCULINO,46,2017-08-24 00:00:00,Jueves
232,2017-0104,1,2017-08-25,2017,8,25,09:00:00,9,AVENIDA,1,-58.38109568,-34.61853244,PEATON,CARGAS,PEATON,FEMENINO,18,2017-08-25 00:00:00,Viernes
233,2017-0106,1,2017-08-31,2017,8,31,19:50:00,19,CALLE,14,-58.42533612,-34.58035258,PEATON,PASAJEROS,PEATON,FEMENINO,85,2017-08-31 00:00:00,Jueves
234,2017-0107,1,2017-09-01,2017,9,1,11:30:00,11,AVENIDA,13,-58.46062311,-34.54395182,MOTO,CARGAS,CONDUCTOR,MASCULINO,41,2017-09-01 00:00:00,Viernes
235,2017-0109,1,2017-09-04,2017,9,4,21:00:00,21,AVENIDA,7,-58.47130269,-34.63665402,MOTO,AUTO,CONDUCTOR,MASCULINO,21,2017-09-05 00:00:00,Lunes
236,2017-0110,1,2017-09-06,2017,9,6,14:15:00,14,AVENIDA,1,-58.37048800,-34.60189492,PEATON,PASAJEROS,PEATON,MASCULINO,56,2017-09-07 00:00:00,Miércoles
237,2017-0111,1,2017-09-07,2017,9,7,18:23:37,18,CALLE,4,-58.42023854,-34.64234110,PEATON,CARGAS,PEATON,FEMENINO,79,2017-09-07 00:00:00,Jueves
238,2017-0112,2,2017-09-10,2017,9,10,09:32:17,9,AUTOPISTA,7,-58.45807401,-34.63997430,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,1,SD,Domingo
239,2017-0112,2,2017-09-10,2017,9,10,09:32:17,9,AUTOPISTA,7,-58.45807401,-34.63997430,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,SD,2017-09-13 00:00:00,Domingo
240,2017-0113,1,2017-09-11,2017,9,11,06:30:00,6,AVENIDA,1,-58.37697717,-34.59573848,PEATON,PASAJEROS,PEATON,FEMENINO,76,2017-09-11 00:00:00,Lunes
241,2017-0114,1,2017-09-15,2017,9,15,02:30:00,2,AVENIDA,2,-58.39100580,-34.58498660,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,26,2017-09-15 00:00:00,Viernes
242,2017-0115,1,2017-09-19,2017,9,19,18:52:33,18,AVENIDA,5,-58.42182126,-34.63089661,MOTO,BICICLETA,CONDUCTOR,MASCULINO,34,SD,Martes
243,2017-0116,1,2017-09-20,2017,9,20,22:24:00,22,GRAL PAZ,12,-58.51389422,-34.58075791,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,22,2017-09-20 00:00:00,Miércoles
244,2017-0118,1,2017-09-22,2017,9,22,07:02:09,7,AVENIDA,4,-58.37585415,-34.65232158,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,26,2017-09-29 00:00:00,Viernes
245,2017-0120,1,2017-10-02,2017,10,2,15:55:33,15,AUTOPISTA,9,-58.47297505,-34.66245085,MOTO,CARGAS,CONDUCTOR,MASCULINO,20,2017-10-02 00:00:00,Lunes
246,2017-0123,1,2017-10-10,2017,10,10,01:05:38,1,AVENIDA,8,-58.46855503,-34.67216349,PEATON,AUTO,PEATON,FEMENINO,36,2017-10-10 00:00:00,Martes
247,2017-0124,1,2017-10-12,2017,10,12,14:40:28,14,CALLE,15,-58.44254033,-34.59185043,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,51,2017-10-12 00:00:00,Jueves
248,2017-0125,1,2017-10-13,2017,10,13,06:12:20,6,AVENIDA,8,-58.46622247,-34.67926929,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,29,2017-10-13 00:00:00,Viernes
249,2017-0126,2,2017-10-14,2017,10,14,06:15:00,6,AVENIDA,8,-58.48003734,-34.68148508,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,39,SD,Sábado
250,2017-0126,2,2017-10-14,2017,10,14,06:15:00,6,AVENIDA,8,-58.48003734,-34.68148508,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,36,2017-10-14 00:00:00,Sábado
251,2017-0127,1,2017-10-16,2017,10,16,07:45:00,7,AVENIDA,2,-58.41192137,-34.59800248,MOTO,MOTO,PASAJERO_ACOMPAÑANTE,MASCULINO,24,2017-10-16 00:00:00,Lunes
252,2017-0128,1,2017-10-17,2017,10,17,12:30:00,12,CALLE,6,-58.44034689,-34.61349731,PEATON,PASAJEROS,PEATON,FEMENINO,60,2017-10-17 00:00:00,Martes
253,2017-0129,1,2017-10-26,2017,10,26,19:15:15,19,AUTOPISTA,9,-58.47155277,-34.64925746,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,57,2017-10-26 00:00:00,Jueves
254,2017-0130,1,2017-10-27,2017,10,27,05:30:00,5,AVENIDA,15,-58.47883099,-34.59967065,AUTO,CARGAS,CONDUCTOR,MASCULINO,23,2017-10-27 00:00:00,Viernes
255,2017-0132,1,2017-10-30,2017,10,30,14:00:00,14,AVENIDA,8,-58.46552171,-34.69374130,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,23,2017-10-30 00:00:00,Lunes
256,2017-0134,1,2017-11-06,2017,11,6,18:00:00,18,AVENIDA,8,-58.44239720,-34.66777987,PEATON,PASAJEROS,PEATON,FEMENINO,47,2017-11-06 00:00:00,Lunes
257,2017-0135,1,2017-11-07,2017,11,7,12:14:10,12,AVENIDA,15,-58.47032551,-34.59626814,MOTO,CARGAS,CONDUCTOR,MASCULINO,24,2017-11-07 00:00:00,Martes
258,2017-0136,1,2017-11-16,2017,11,16,08:43:00,8,AVENIDA,4,-58.41827843,-34.65522746,PEATON,PASAJEROS,PEATON,MASCULINO,55,2017-11-16 00:00:00,Jueves
259,2017-0137,1,2017-11-17,2017,11,17,11:45:00,11,AVENIDA,11,-58.51280715,-34.59279388,PEATON,CARGAS,PEATON,FEMENINO,60,2017-11-17 00:00:00,Viernes
260,2017-0138,1,2017-11-19,2017,11,19,10:30:00,10,AVENIDA,7,-58.46258582,-34.64385704,MOTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,25,2017-11-19 00:00:00,Domingo
261,2017-0139,1,2017-11-19,2017,11,19,22:30:00,22,AVENIDA,8,-58.45064148,-34.68003614,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,FEMENINO,15,2017-11-19 00:00:00,Domingo
262,2017-0140,1,2017-11-19,2017,11,19,23:22:17,23,AUTOPISTA,4,.,.,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,24,2017-11-19 00:00:00,Domingo
263,2017-0141,1,2017-11-23,2017,11,23,19:45:00,19,AVENIDA,6,-58.42717783,-34.62513374,PEATON,PASAJEROS,PEATON,FEMENINO,22,2017-11-23 00:00:00,Jueves
264,2017-0143,1,2017-11-25,2017,11,25,21:45:00,21,CALLE,11,-58.46442001,-34.60724519,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,50,2017-11-25 00:00:00,Sábado
265,2017-0144,1,2017-11-26,2017,11,26,06:45:00,6,GRAL PAZ,8,-58.47064556,-34.69843756,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,FEMENINO,50,2017-11-26 00:00:00,Domingo
266,2017-0145,1,2017-11-26,2017,11,26,17:05:00,17,CALLE,5,-58.41677733,-34.61223119,MOTO,AUTO,CONDUCTOR,MASCULINO,58,2017-11-26 00:00:00,Domingo
267,2017-0147,1,2017-11-28,2017,11,28,11:15:00,11,GRAL PAZ,9,-58.50251790,-34.67450313,MOTO,AUTO,CONDUCTOR,MASCULINO,49,2017-11-28 00:00:00,Martes
