AAAA,VICTIMAS,AÑO_ANTERIOR,TASA_VICTIMAS,TASA_AÑO_ANTERIOR,VARIACION
2016,62,0,1.9867897707244604,0.0,inf
2017,49,62,1.570204818798364,1.9867897707244604,-20.967741935483865
2018,53,49,1.6983848040063936,1.570204818798364,8.163265306122446
2019,50,53,1.6022498151003715,1.6983848040063936,-5.660377358490557
2020,26,50,0.8331699038521931,1.6022498151003715,-48.00000000000001
2021,46,26,1.4740698298923416,0.8331699038521931,76.9230769230769
