AAAA,VICTIMAS,AÑO_ANTERIOR,TASA_VICTIMAS,TASA_AÑO_ANTERIOR,VARIACION
2016,49,0,1.570204818798364,0.0,inf
2017,49,49,1.570204818798364,1.570204818798364,0.0
2018,64,49,2.050879763328475,1.570204818798364,30.612244897959172
2019,33,64,1.0574848779662451,2.050879763328475,-48.43749999999999
2020,34,33,1.0895298742682524,1.0574848779662451,3.0303030303030183
2021,33,34,1.0574848779662451,1.0895298742682524,-2.941176470588224
